brand_name,model_name,wurfl_device_id,wurfl_fall_back,method,visits,opSelVisits,opSelVisitsOnly,lpVisits,submissions,subscribers,conv,realConv,marketing_name,device_os,device_os_version,release_date,mobile_browser
HTC,HD2,htc_hd2_ver1_subwp65,htc_hd2_ver1_subie812,JAVA_APP,9,0,0,9,0,0,0,0,,Windows Mobile OS,6.5,2009_november,IEMobile
Samsung,GT S3600C,samsung_gt_s3600i_ver1,samsung_gt_s3600_ver1,WAP,15,0,0,15,9,8,0.533333333333333,0.533333333333333,,,,2009_october,Access Netfront
Samsung,GT S3600C,samsung_gt_s3600i_ver1,samsung_gt_s3600_ver1,NULL,2,0,0,2,0,0,0,0,,,,2009_october,Access Netfront
Apple,iPhone,apple_iphone_ver3_1_3_subenus,apple_iphone_ver3_1_3,WAP,8,0,0,8,1,1,0.125,0.125,,iOS,3.1.3,2009_november,Safari
Apple,iPhone,apple_iphone_ver3_1_3_subenus,apple_iphone_ver3_1_3,Unknown,30,0,0,30,0,0,0,0,,iOS,3.1.3,2009_november,Safari
Apple,iPhone,apple_iphone_ver3_1_3_subenus,apple_iphone_ver3_1_3,WAPPIN,60,0,0,60,1,0,0,0,,iOS,3.1.3,2009_november,Safari
Apple,iPhone,apple_iphone_ver3_1_3_subenus,apple_iphone_ver3_1_3,NULL,3,0,0,3,1,1,0.333333333333333,0.333333333333333,,iOS,3.1.3,2009_november,Safari
Samsung,GT B5722,samsung_gt_b5722_ver1,generic_netfront_ver3_5,CLICKTAG,1,0,0,1,0,0,0,0,,,,2010_march,Access Netfront
Samsung,GT B5722,samsung_gt_b5722_ver1,generic_netfront_ver3_5,WAP,2,0,0,2,0,0,0,0,,,,2010_march,Access Netfront
Motorola,MB501,mot_mb501_ver1,generic_android_ver1_5,GooglePlay,44,0,0,44,0,0,0,0,CLIQ XT,Android,1.5,2009_november,Android Webkit
Apple,iPhone,apple_iphone_ver3_1_2_svse,apple_iphone_ver3_1_2,WAP,102,0,0,102,0,0,0,0,,iOS,3.1.2,2009_november,Safari
Apple,iPhone,apple_iphone_ver3_1_2_svse,apple_iphone_ver3_1_2,Unknown,12,0,0,12,0,0,0,0,,iOS,3.1.2,2009_november,Safari
Apple,iPhone,apple_iphone_ver3_1_2_svse,apple_iphone_ver3_1_2,WAPPIN,30,0,0,30,0,0,0,0,,iOS,3.1.2,2009_november,Safari
LG,GU220,lg_gu220_ver1,lg_generic_obigo_q7,CLICKTAG,1,0,0,1,0,0,0,0,,,,2010_march,Teleca-Obigo
LG,GU230,lg_gu230_ver1,lg_generic_obigo_q7,WAP,2,0,0,2,0,0,0,0,,,,2010_march,Teleca-Obigo
SonyEricsson,W20i,sonyericsson_w20i_ver1,generic_netfront_ver3_5,WAP,5,0,0,5,0,0,0,0,Tao,,,2010_march,Access Netfront
SonyEricsson,W20i,sonyericsson_w20i_ver1,generic_netfront_ver3_5,CLICKTAG,1,0,0,1,0,0,0,0,Tao,,,2010_march,Access Netfront
Motorola,MB511,motorola_mb511_ver1_subua,motorola_mb511_ver1,CLICKTAG,1,0,0,1,0,0,0,0,Ruth,Android,2.1,2009_october,Android Webkit
Motorola,MB511,motorola_mb511_ver1_subua,motorola_mb511_ver1,GooglePlay,33,0,0,33,0,0,0,0,Ruth,Android,2.1,2009_october,Android Webkit
Motorola,MB511,motorola_mb511_ver1_subua,motorola_mb511_ver1,WAP,11,0,0,11,0,0,0,0,Ruth,Android,2.1,2009_october,Android Webkit
Nokia,5530,nokia_5530_xpressmusic_ver1_subua,nokia_5530_xpressmusic_ver1,WAP,36,0,0,36,7,5,0.138888888888889,0.138888888888889,XpressMusic,Symbian OS,9.4,2009_june,Safari
Nokia,5530,nokia_5530_xpressmusic_ver1_subua,nokia_5530_xpressmusic_ver1,NULL,92,0,0,92,0,0,0,0,XpressMusic,Symbian OS,9.4,2009_june,Safari
Nokia,5530,nokia_5530_xpressmusic_ver1_subua,nokia_5530_xpressmusic_ver1,CLICKTAG,325,0,0,325,2,2,0.006153846153846,0.006153846153846,XpressMusic,Symbian OS,9.4,2009_june,Safari
HTC,Espresso,htc_espresso_ver1,generic_android_ver2_1,GooglePlay,4,0,0,4,0,0,0,0,,Android,2.1,2009_october,Android Webkit
Samsung,GT i7500,samsung_gt_i7500_ver1_subengb,samsung_gt_i7500_ver1,GooglePlay,7,0,0,7,0,0,0,0,Galaxy,Android,1.5,2009_august,Android Webkit
LG,BL40,lg_bl40_ver1_subua,lg_bl40_ver1,CLICKTAG,2,0,0,2,0,0,0,0,Black Label,,,2009_august,Teleca-Obigo
Apple,iPad,apple_ipad_ver1_sub5312110,apple_ipad_ver1,NULL,1,0,0,1,0,0,0,0,,iOS,3.2,2010_april,Safari
Samsung,GT S5350,samsung_gt_s5350_ver1,generic_netfront_ver3_5,WAP,1,0,0,1,1,0,0,0,Shark,,,2002_july,Access Netfront
Samsung,SCH W259,samsung_sch_w259_ver1,generic_netfront_ver3_4,WAP,1,0,0,1,1,0,0,0,,,,2002_july,Access Netfront
Motorola,Calgary,mot_calgary_ver1_subdevour,mot_calgary_ver1,GooglePlay,2,0,0,2,0,0,0,0,Devour,Android,1.6,2009_july,Android Webkit
HTC,HD Mini,htc_hd_mini_ver1_subiem6,htc_hd_mini_ver1,CLICKTAG,1,0,0,1,0,0,0,0,,Windows Mobile OS,6.5,2010_may,IEMobile
LG,GD580,lg_gd580_ver1,generic_xhtml,WAP,1,0,0,1,0,0,0,0,,,,2002_july,
LG,KM555,lg_km555_ver1,lg_generic_obigo_q7,CLICKTAG,5,0,0,5,0,0,0,0,,,,2010_april,Teleca-Obigo
LG,GD880,lg_gd880_ver1,lg_generic,CLICKTAG,10,0,0,10,0,0,0,0,Mini,,,2010_april,Safari
Nokia,7230,nokia_7230_ver1,nokia_generic_series40_dp60,CLICKTAG,37,0,0,37,3,3,0.081081081081081,0.081081081081081,,,,2009_november,Safari
Nokia,7230,nokia_7230_ver1,nokia_generic_series40_dp60,NULL,5,0,0,5,0,0,0,0,,,,2009_november,Safari
Nokia,7230,nokia_7230_ver1,nokia_generic_series40_dp60,WAP,281,0,0,281,80,54,0.192170818505338,0.192170818505338,,,,2009_november,Safari
Sagem,PUMA Phone M1,sagem_puma_ver1,generic_xhtml,CLICKTAG,10,0,0,10,0,0,0,0,,,,2010_april,
SonyEricsson,W995,sonyericsson_w995_ver1_subr1ea,sonyericsson_w995_ver1,CLICKTAG,9,0,0,9,1,1,0.111111111111111,0.111111111111111,,,,2009_march,Access Netfront
Apple,iPhone,apple_iphone_ver4,apple_iphone_ver3_1_3,GooglePlay,1,0,0,1,0,0,0,0,,iOS,4,2010_april,Safari
Apple,iPhone,apple_iphone_ver4,apple_iphone_ver3_1_3,WAPPIN,23,0,0,23,0,0,0,0,,iOS,4,2010_april,Safari
Apple,iPhone,apple_iphone_ver4,apple_iphone_ver3_1_3,WAP,5,0,0,5,1,0,0,0,,iOS,4,2010_april,Safari
Apple,iPhone,apple_iphone_ver4,apple_iphone_ver3_1_3,Unknown,7,0,0,7,0,0,0,0,,iOS,4,2010_april,Safari
Apple,iPod Touch,apple_ipod_touch_ver4,apple_ipod_touch_ver3_1_3,WAPPIN,16,0,0,16,0,0,0,0,,iOS,4,2010_april,Safari
Apple,iPod Touch,apple_ipod_touch_ver4,apple_ipod_touch_ver3_1_3,Unknown,2,0,0,2,0,0,0,0,,iOS,4,2010_april,Safari
Nokia,2730 classic,nokia_2730c_ver1_sub0770,nokia_2730c_ver1,WAP,4,0,0,4,1,1,0.25,0.25,,,,2009_may,Nokia
SonyEricsson,T715,sonyericsson_t715_ver1_subr1ga,sonyericsson_t715_ver1,WAP,3,0,0,3,0,0,0,0,,,,2009_september,Access Netfront
Nokia,2730 classic,nokia_2730c_ver1_sub0941,nokia_2730c_ver1,JAVA_APP,1,0,0,1,0,0,0,0,,,,2009_may,Nokia
Nokia,2730 classic,nokia_2730c_ver1_sub0941,nokia_2730c_ver1,WAP,11,0,0,11,3,3,0.272727272727273,0.272727272727273,,,,2009_may,Nokia
SonyEricsson,C902,sonyericsson_c902_ver1_subr3ea,sonyericsson_c902_ver1,WAP,5,0,0,5,1,1,0.2,0.2,,,,2008_january,Access Netfront
SonyEricsson,C902,sonyericsson_c902_ver1_subr3ea,sonyericsson_c902_ver1,CLICKTAG,1,0,0,1,0,0,0,0,,,,2008_january,Access Netfront
Apple,iPod Touch,apple_ipod_touch_ver3_1_2_sub7d11,apple_ipod_touch_ver3_1_2,WAPPIN,4,0,0,4,0,0,0,0,,iOS,3.1.2,2009_august,Safari
Nokia,2730 classic,nokia_2730c_ver1_sub0760,nokia_2730c_ver1,WAP,121,0,0,121,28,18,0.148760330578512,0.148760330578512,,,,2009_may,Nokia
Nokia,2730 classic,nokia_2730c_ver1_sub0760,nokia_2730c_ver1,JAVA_APP,12,0,0,12,0,0,0,0,,,,2009_may,Nokia
Nokia,2690,nokia_2690_ver1,nokia_generic_series40_dp50,NULL,1,0,0,1,0,0,0,0,,,,2009_november,Nokia
Nokia,2690,nokia_2690_ver1,nokia_generic_series40_dp50,JAVA_APP,9,0,0,9,1,1,0.111111111111111,0.111111111111111,,,,2009_november,Nokia
Nokia,2690,nokia_2690_ver1,nokia_generic_series40_dp50,WAP,134,0,0,134,41,19,0.141791044776119,0.141791044776119,,,,2009_november,Nokia
Nokia,5800 XpressMusic,nokia_5800d_ver1_sub500005,nokia_5800d_ver1,WAP,2427,0,0,2427,379,242,0.099711578079934,0.099711578079934,XpressMusic,Symbian OS,9.4,2008_october,Safari
Nokia,5800 XpressMusic,nokia_5800d_ver1_sub500005,nokia_5800d_ver1,Unknown,9,0,0,9,0,0,0,0,XpressMusic,Symbian OS,9.4,2008_october,Safari
Nokia,5800 XpressMusic,nokia_5800d_ver1_sub500005,nokia_5800d_ver1,CLICKTAG,3338,0,0,3338,40,40,0.011983223487118,0.011983223487118,XpressMusic,Symbian OS,9.4,2008_october,Safari
Nokia,5800 XpressMusic,nokia_5800d_ver1_sub500005,nokia_5800d_ver1,NULL,915,1,1,914,2,2,0.002185792349727,0.00218818380744,XpressMusic,Symbian OS,9.4,2008_october,Safari
Apple,iPad,apple_ipad_ver1_subua32,apple_ipad_ver1,CLICKTAG,40,0,0,40,2,1,0.025,0.025,,iOS,3.2,2010_january,Safari
Apple,iPad,apple_ipad_ver1_subua32,apple_ipad_ver1,SMS_WAP,19,0,0,19,0,0,0,0,,iOS,3.2,2010_january,Safari
Apple,iPad,apple_ipad_ver1_subua32,apple_ipad_ver1,WAP,1634,0,0,1634,161,80,0.048959608323133,0.048959608323133,,iOS,3.2,2010_january,Safari
Apple,iPad,apple_ipad_ver1_subua32,apple_ipad_ver1,NULL,17,12,12,5,0,0,0,0,,iOS,3.2,2010_january,Safari
Apple,iPad,apple_ipad_ver1_subua32,apple_ipad_ver1,WAPPIN,42531,0,0,42531,702,116,0.002727422350756,0.002727422350756,,iOS,3.2,2010_january,Safari
SonyEricsson,X10iv,sonyericsson_x10iv_ver1,sonyericsson_x10i_ver1,GooglePlay,1,0,0,1,0,0,0,0,Xperia X10,Android,1.6,2009_november,Android Webkit
SonyEricsson,X10iv,sonyericsson_x10iv_ver1,sonyericsson_x10i_ver1,WAP,10,0,0,10,0,0,0,0,Xperia X10,Android,1.6,2009_november,Android Webkit
LG,LU2300,lg_lu2300_ver1,generic_android_ver1_6,GooglePlay,5,0,0,5,0,0,0,0,,Android,1.6,2009_july,Android Webkit
SonyEricsson,W100,sonyericsson_w100i_ver1,lg_generic_obigo_q7,WAP,1,0,0,1,0,0,0,0,Spiro,,,2010_may,Teleca-Obigo
SonyEricsson,W100,sonyericsson_w100i_ver1,lg_generic_obigo_q7,CLICKTAG,2,0,0,2,0,0,0,0,Spiro,,,2010_may,Teleca-Obigo
Samsung,SHW-M100S,samsung_shw_m100s_ver1,generic_android_ver2_1,GooglePlay,8,0,0,8,0,0,0,0,Galaxy A,Android,2.1,2009_october,Android Webkit
HTC,HD Mini T5555,htc_hd_mini_ver1,generic_ms_winmo6_5,WAP,5,0,0,5,0,0,0,0,,Windows Mobile OS,6.5,2010_may,Opera
Motorola,Milestone,mot_milestone_ver1_suban21,mot_milestone_ver1,CLICKTAG,1,0,0,1,0,0,0,0,,Android,2.1,2010_march,Android Webkit
Motorola,Milestone,mot_milestone_ver1_suban21,mot_milestone_ver1,WAP,1,0,0,1,1,0,0,0,,Android,2.1,2010_march,Android Webkit
