brand_name,model_name,wurfl_device_id,wurfl_fall_back,visits,opSelVisits,opSelVisitsOnly,lpVisits,submissions,subscribers,conv,realConv,marketing_name,device_os,device_os_version,release_date,mobile_browser
Samsung,GT-S5270K,samsung_gt_s5270k_ver1,generic_netfront_ver4_1,15,11,9,6,0,0,0,0,Chat,,,2002_july,Access Netfront
Samsung,GT-S5610K,samsung_gt_s5610_ver1_subuak,samsung_gt_s5610_ver1,7,4,4,3,0,0,0,0,Primo,,,2011_november,Access Netfront
ZTE,C S265,zte_c_s265_ver1,generic_xhtml,1,1,0,1,0,0,0,0,,,,2002_july,
HTC,A6380,htc_a6380_ver1_subualoc,htc_a6380_ver1,51,28,18,33,0,0,0,0,Gratia,Android,2.2,2009_october,Android Webkit
SonyEricsson,LT18i,sonyericsson_lt18i_ver1_suban40,sonyericsson_lt18i_ver1,15805,6207,5088,10717,49,49,0.003100284720025,0.004572175048988,Xperia Arc,Android,4,2011_september,Android Webkit
SonyEricsson,LT18i,sonyericsson_lt18i_ver1_subua40nose,sonyericsson_lt18i_ver1,10260,2734,2440,7820,19,19,0.001851851851852,0.002429667519182,Xperia Arc,Android,4,2011_september,Android Webkit
HTC,X315e,htc_x005F_x315e_ver1_suban40,htc_x005F_x315e_ver1,240,100,80,160,1,1,0.004166666666667,0.00625,Sensation XL with Beats Audio,Android,4,2010_november,Android Webkit
Asus,SL101,asus_eee_pad_sl101_ver1_suban40,asus_eee_pad_sl101_ver1,4,1,1,3,0,0,0,0,Eee Pad SL101 Slider,Android,4,2011_february,Android Webkit
Samsung,YP-GS1,samsung_yp_gs1_ver1,generic_android_ver2_3,12,5,1,11,0,0,0,0,Galaxy Player 3.6,Android,2.3,2010_november,Android Webkit
Nokia,Lumia 900,nokia_lumia_900_ver1,generic_ms_phone_os7_5,239,217,202,37,0,0,0,0,,Windows Phone OS,7.5,2012_january,IEMobile
HTC,Spark,htc_spark_ver1_subuatrophy75,htc_spark_ver1,27,26,23,4,0,0,0,0,7 Trophy,Windows Phone OS,7.5,2010_july,IEMobile
Motorola,Droid 2,mot_droid2_ver1_suban23,mot_droid2_ver1,2,0,0,2,0,0,0,0,,Android,2.3,2010_august,Android Webkit
